timestamp,floorplan,beds,sqft,unit,date_available,starting_price,deposit,special,url
2026-07-21T08:52:26,North Tower Royale,2 Bed(s),1491,0319,7/25/2026,"$4,295.00","$1,200.00",1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,North Tower Royale,2 Bed(s),1491,0919,7/27/2026,"$4,370.00","$1,200.00",1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,North Tower Royale,2 Bed(s),1491,1201,8/1/2026,"$4,545.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,North Tower Royale,2 Bed(s),1491,1202,8/26/2026,"$4,520.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Cabrillo,2 Bed(s),1469,1407,8/14/2026,"$4,495.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Catalina,1 Bed(s),1104,0212,Available Now,"$3,350.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Catalina,1 Bed(s),846,0713,Available Now,"$3,425.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Catalina,1 Bed(s),846,1203,Available Now,"$3,500.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Catalina,1 Bed(s),922,0115,Available Now,"$3,300.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Catalina,1 Bed(s),846,1615,Available Now,"$3,700.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Meridian with Den Option,1 Bed(s),967,0718,Available Now,"$3,875.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Montecito,3 Bed(s),1416,1616,Available Now,"$5,410.00","$1,500.00",1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Montecito,3 Bed(s),1416,1006,8/25/2026,"$5,210.00","$1,500.00",,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Pacifica,2 Bed(s),1253,0904,8/1/2026,"$4,320.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Pacifica,2 Bed(s),1458,0114,8/14/2026,"$4,095.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Pacifica,2 Bed(s),1253,0704,8/14/2026,"$4,270.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Pacifica,2 Bed(s),1389,1214,8/14/2026,"$4,270.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Regency,1 Bed(s),960,1711,Available Now,"$3,910.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Regency,1 Bed(s),960,0911,Available Now,"$3,610.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Royale,2 Bed(s),1433,1001,7/24/2026,"$4,595.00","$1,200.00",1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Royale,2 Bed(s),1310,0202,7/27/2026,"$4,270.00","$1,200.00",,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Royale,2 Bed(s),1433,0319,8/14/2026,"$4,395.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Royale,2 Bed(s),1433,0719,8/14/2026,"$4,570.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,South Tower Royale,2 Bed(s),1433,1219,8/14/2026,"$4,770.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,1B,1 Bed(s),907,1407,8/21/2026,"$4,610.00",,"$2,000 Off at Move In",https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,1B-1,1 Bed(s),1260,1704,8/29/2026,"$5,225.00",,,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,1B-3 & 3A,1 Bed(s),1052,2011,7/23/2026,"$5,575.00",,First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,1B-3 & 3A,1 Bed(s),1052,1812,7/30/2026,"$4,875.00",,"$2,000 Off at Move In",https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,1C,1 Bed(s),908,1503,8/14/2026,"$4,445.00",,"$2,000 Off at Move In",https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,2A,2 Bed(s),1365,0305,8/14/2026,"$5,385.00",,1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,2A.1,2 Bed(s),1407,0505,8/18/2026,"$5,265.00",,1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,2B-1 & 1A,2 Bed(s),1350,1705,8/14/2026,"$6,025.00",,First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,2B-10B Upgraded,2 Bed(s),2075,2303,7/22/2026,"$9,175.00",,1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,2B-2,2 Bed(s),1602,1703,8/14/2026,"$6,650.00",,First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,2B-2,2 Bed(s),1602,1503,8/28/2026,"$6,485.00",,,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,2B-4,2 Bed(s),1437,0711,8/14/2026,"$5,565.00",,First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,2B-4,2 Bed(s),1437,1511,8/14/2026,"$6,010.00",,First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,2B-5,2 Bed(s),1864,1510,Available Now,"$6,785.00",,1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,2B-5,2 Bed(s),1864,0810,9/14/2026,"$6,415.00",,,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,2B-5,2 Bed(s),1861,1010,9/14/2026,"$6,515.00",,First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,2B-5,2 Bed(s),1861,1110,9/14/2026,"$6,565.00",,First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,2D,2 Bed(s),1739,1204,7/29/2026,"$6,250.00",,1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,2D,2 Bed(s),1739,0904,8/14/2026,"$6,010.00",,1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,2D,2 Bed(s),1739,1004,8/14/2026,"$6,100.00",,1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,3A,3 Bed(s),1710,1502,8/14/2026,"$7,400.00",,,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T09:52:31,North Tower Catalina,1 Bed(s),872,0703,Available Now,"$3,375.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,North Tower Catalina,1 Bed(s),872,1615,Available Now,"$3,625.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,North Tower Catalina,1 Bed(s),872,1105,8/5/2026,"$3,450.00","$1,000.00",1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,North Tower Catalina,1 Bed(s),872,1503,8/12/2026,"$3,600.00","$1,000.00",1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,North Tower Catalina,1 Bed(s),872,0513,8/13/2026,"$3,325.00","$1,000.00",1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,North Tower Meridian with Den Option,1 Bed(s),1140,1218,7/24/2026,"$4,150.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,North Tower Meridian with Den Option,1 Bed(s),1140,0918,8/28/2026,"$3,725.00","$1,000.00",,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,North Tower Pacifica,2 Bed(s),1413,0414,Available Now,"$4,120.00","$1,200.00",1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,North Tower Pacifica,2 Bed(s),1413,0408,Available Now,"$4,120.00","$1,200.00",1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,North Tower Pacifica,2 Bed(s),1276,1604,8/14/2026,"$4,470.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,North Tower Regency,1 Bed(s),983,1111,Available Now,"$3,660.00","$1,000.00",1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,North Tower Regency,1 Bed(s),983,1611,8/24/2026,"$3,885.00","$1,000.00",1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,North Tower Royale,2 Bed(s),1491,0319,7/25/2026,"$4,295.00","$1,200.00",1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,North Tower Royale,2 Bed(s),1491,0919,7/27/2026,"$4,370.00","$1,200.00",1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,North Tower Royale,2 Bed(s),1491,1201,8/1/2026,"$4,545.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,North Tower Royale,2 Bed(s),1491,1202,8/26/2026,"$4,520.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,South Tower Cabrillo,2 Bed(s),1469,1407,8/14/2026,"$4,495.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,South Tower Catalina,1 Bed(s),1104,0212,Available Now,"$3,350.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,South Tower Catalina,1 Bed(s),846,0713,Available Now,"$3,425.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,South Tower Catalina,1 Bed(s),846,1203,Available Now,"$3,500.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,South Tower Catalina,1 Bed(s),922,0115,Available Now,"$3,300.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,South Tower Catalina,1 Bed(s),846,1615,Available Now,"$3,700.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,South Tower Meridian with Den Option,1 Bed(s),967,0718,Available Now,"$3,875.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,South Tower Montecito,3 Bed(s),1416,1616,Available Now,"$5,410.00","$1,500.00",1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,South Tower Montecito,3 Bed(s),1416,1006,8/25/2026,"$5,210.00","$1,500.00",,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,South Tower Pacifica,2 Bed(s),1253,0904,8/1/2026,"$4,320.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,South Tower Pacifica,2 Bed(s),1458,0114,8/14/2026,"$4,095.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,South Tower Pacifica,2 Bed(s),1253,0704,8/14/2026,"$4,270.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,South Tower Pacifica,2 Bed(s),1389,1214,8/14/2026,"$4,270.00","$1,200.00",First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,South Tower Regency,1 Bed(s),960,1711,Available Now,"$3,910.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,South Tower Regency,1 Bed(s),960,0911,Available Now,"$3,610.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,South Tower Royale,2 Bed(s),1433,1001,7/24/2026,"$4,595.00","$1,200.00",1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T09:52:31,South Tower Royale,2 Bed(s),1310,0202,7/27/2026,"$4,270.00","$1,200.00",,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
